state_label,theta,phi,filter_stage,filter_label,n_paths,position,path,path_error,repeat,fidelity
+,1.570796,0.0,0,Baseline,184,best,"[66, 67, 74]",0.001594,0,0.976192
+,1.570796,0.0,0,Baseline,184,best,"[66, 67, 74]",0.001594,1,0.976192
+,1.570796,0.0,0,Baseline,184,best,"[66, 67, 74]",0.001594,2,0.976192
+,1.570796,0.0,0,Baseline,184,worst,"[115, 116, 117]",0.045405,0,0.867315
+,1.570796,0.0,0,Baseline,184,worst,"[115, 116, 117]",0.045405,1,0.867315
+,1.570796,0.0,0,Baseline,184,worst,"[115, 116, 117]",0.045405,2,0.867315
+,1.570796,0.0,1,+RO<5%,67,best,"[66, 67, 74]",0.001594,0,0.976192
+,1.570796,0.0,1,+RO<5%,67,best,"[66, 67, 74]",0.001594,1,0.976192
+,1.570796,0.0,1,+RO<5%,67,best,"[66, 67, 74]",0.001594,2,0.976192
+,1.570796,0.0,1,+RO<5%,67,worst,"[78, 79, 80]",0.012283,0,0.93518
+,1.570796,0.0,1,+RO<5%,67,worst,"[78, 79, 80]",0.012283,1,0.93518
+,1.570796,0.0,1,+RO<5%,67,worst,"[78, 79, 80]",0.012283,2,0.93518
+,1.570796,0.0,2,2Q<1%,63,best,"[66, 67, 74]",0.001594,0,0.976192
+,1.570796,0.0,2,2Q<1%,63,best,"[66, 67, 74]",0.001594,1,0.976192
+,1.570796,0.0,2,2Q<1%,63,best,"[66, 67, 74]",0.001594,2,0.976192
+,1.570796,0.0,2,2Q<1%,63,worst,"[79, 80, 92]",0.009885,0,0.952171
+,1.570796,0.0,2,2Q<1%,63,worst,"[79, 80, 92]",0.009885,1,0.952171
+,1.570796,0.0,2,2Q<1%,63,worst,"[79, 80, 92]",0.009885,2,0.952171
+,1.570796,0.0,3,2Q<0.5%,48,best,"[66, 67, 74]",0.001594,0,0.976192
+,1.570796,0.0,3,2Q<0.5%,48,best,"[66, 67, 74]",0.001594,1,0.976192
+,1.570796,0.0,3,2Q<0.5%,48,best,"[66, 67, 74]",0.001594,2,0.976192
+,1.570796,0.0,3,2Q<0.5%,48,worst,"[70, 71, 75]",0.003003,0,0.961217
+,1.570796,0.0,3,2Q<0.5%,48,worst,"[70, 71, 75]",0.003003,1,0.961217
+,1.570796,0.0,3,2Q<0.5%,48,worst,"[70, 71, 75]",0.003003,2,0.961217
+,1.570796,0.0,4,2Q<0.3%,27,best,"[66, 67, 74]",0.001594,0,0.976192
+,1.570796,0.0,4,2Q<0.3%,27,best,"[66, 67, 74]",0.001594,1,0.976192
+,1.570796,0.0,4,2Q<0.3%,27,best,"[66, 67, 74]",0.001594,2,0.976192
+,1.570796,0.0,4,2Q<0.3%,27,worst,"[34, 40, 39]",0.002392,0,0.965948
+,1.570796,0.0,4,2Q<0.3%,27,worst,"[34, 40, 39]",0.002392,1,0.965948
+,1.570796,0.0,4,2Q<0.3%,27,worst,"[34, 40, 39]",0.002392,2,0.965948
1,3.141593,0.0,0,Baseline,184,best,"[66, 67, 74]",0.001594,0,0.976727
1,3.141593,0.0,0,Baseline,184,best,"[66, 67, 74]",0.001594,1,0.976727
1,3.141593,0.0,0,Baseline,184,best,"[66, 67, 74]",0.001594,2,0.976727
1,3.141593,0.0,0,Baseline,184,worst,"[115, 116, 117]",0.045405,0,0.875418
1,3.141593,0.0,0,Baseline,184,worst,"[115, 116, 117]",0.045405,1,0.875418
1,3.141593,0.0,0,Baseline,184,worst,"[115, 116, 117]",0.045405,2,0.875418
1,3.141593,0.0,1,+RO<5%,67,best,"[66, 67, 74]",0.001594,0,0.976727
1,3.141593,0.0,1,+RO<5%,67,best,"[66, 67, 74]",0.001594,1,0.976727
1,3.141593,0.0,1,+RO<5%,67,best,"[66, 67, 74]",0.001594,2,0.976727
1,3.141593,0.0,1,+RO<5%,67,worst,"[78, 79, 80]",0.012283,0,0.934832
1,3.141593,0.0,1,+RO<5%,67,worst,"[78, 79, 80]",0.012283,1,0.934832
1,3.141593,0.0,1,+RO<5%,67,worst,"[78, 79, 80]",0.012283,2,0.934832
1,3.141593,0.0,2,2Q<1%,63,best,"[66, 67, 74]",0.001594,0,0.976727
1,3.141593,0.0,2,2Q<1%,63,best,"[66, 67, 74]",0.001594,1,0.976727
1,3.141593,0.0,2,2Q<1%,63,best,"[66, 67, 74]",0.001594,2,0.976727
1,3.141593,0.0,2,2Q<1%,63,worst,"[79, 80, 92]",0.009885,0,0.954984
1,3.141593,0.0,2,2Q<1%,63,worst,"[79, 80, 92]",0.009885,1,0.954984
1,3.141593,0.0,2,2Q<1%,63,worst,"[79, 80, 92]",0.009885,2,0.954984
1,3.141593,0.0,3,2Q<0.5%,48,best,"[66, 67, 74]",0.001594,0,0.976727
1,3.141593,0.0,3,2Q<0.5%,48,best,"[66, 67, 74]",0.001594,1,0.976727
1,3.141593,0.0,3,2Q<0.5%,48,best,"[66, 67, 74]",0.001594,2,0.976727
1,3.141593,0.0,3,2Q<0.5%,48,worst,"[69, 70, 71]",0.003003,0,0.96243
1,3.141593,0.0,3,2Q<0.5%,48,worst,"[69, 70, 71]",0.003003,1,0.96243
1,3.141593,0.0,3,2Q<0.5%,48,worst,"[69, 70, 71]",0.003003,2,0.96243
1,3.141593,0.0,4,2Q<0.3%,27,best,"[66, 67, 74]",0.001594,0,0.976727
1,3.141593,0.0,4,2Q<0.3%,27,best,"[66, 67, 74]",0.001594,1,0.976727
1,3.141593,0.0,4,2Q<0.3%,27,best,"[66, 67, 74]",0.001594,2,0.976727
1,3.141593,0.0,4,2Q<0.3%,27,worst,"[34, 40, 39]",0.002392,0,0.967285
1,3.141593,0.0,4,2Q<0.3%,27,worst,"[34, 40, 39]",0.002392,1,0.967285
1,3.141593,0.0,4,2Q<0.3%,27,worst,"[34, 40, 39]",0.002392,2,0.967285
